"VISA","Visa"
"MASTER_CARD","Master Card"
"S_PANKKI_VERKKOMAKSU","S-pankki"
"AKTIA_MAKSU","Aktia"
"OP_POHJOLA_VERKKOMAKSU","OP-Pohjola"
"NORDEA_E_PAYMENT","Nordea"
"SAMPO_WEB_PAYMENT","Danske Bank"
"TAPIOLA_VERKKOMAKSU","Tapiola"
"HANDELSBANKEN_E_PAYMENT","Handelsbanken"
"ALANDSBANKEN_E_PAYMENT","Ålandsbanken"
"NORDEA_SE_DB","NORDEA_SE_DB"
"HANDELSBANKEN_SE_DB","HANDELSBANKEN_SE_DB"
"SWEDBANK_SE_DB","SWEDBANK_SE_DB"
"SEB_SE_DB","SEB_SE_DB"
"INVOICE_COLLECTOR","Collector Lasku"
"BANK_AXESS","BANK_AXESS"
"DANKORT","Dankort"
"NORDEA_DK_DB","NORDEA_DK_DB"
"DANSKE_NETBETALING","DANSKE_NETBETALING"
"HANDELSBANKEN_SE_INVOICE","HANDELSBANKEN_SE_INVOICE"
"AMEX","American Express"
"DINERS","Diners"
"HANDELSBANKEN_SE_ACCOUNT",""
"SVEA_WEBPAY_INSTALLMENT","Svea Osamaksu"
"SVEA_WEBPAY_INVOICE","Svea Lasku"
"SAASTOPANKIN_VERKKOMAKSU","Säästöpankki"
"POP_PANKIN_VERKKOMAKSU","POP Pankki"
"Problem with retrieve payment methods. %1","Problem with retrieve payment methods. %1"
"Payment methods retrieved correctly. Please save configuration for apply.","Payment methods retrieved correctly. Please save configuration for apply."
"Get Available Payment Methods","Get Available Payment Methods"
"Select payment methods and set groups","Select payment methods and set groups"
"Payment was canceled. Cancel reason: %1","Payment was canceled. Cancel reason: %1"
"Payment %1 captured","Payment %1 captured"
"There was a problem while processing refund create request.","There was a problem while processing refund create request."
"There was a problem while processing order refund request.","There was a problem while processing order refund request."
"Transaction %1 not found.","Transaction %1 not found."
"Production","Production"
"Test","Test"
"Order request data array is invalid.","Order request data array is invalid."
"Title","Title"
"Enabled","Enabled"
"Module on live mode","Module on live mode"
"Select if extension is on live mode (Production) or test mode (Test)","Select if extension is on live mode (Production) or test mode (Test)"
"Verifone Payment merchant agreement code","Verifone Payment merchant agreement code"
"Required. Verifone Payment agreement code","Required. Verifone Payment agreement code"
"Shop private key filename","Shop private key filename"
"Required. Path and filename of shop secret key file generated with Verifone key pair generator","Required. Path and filename of shop secret key file generated with Verifone key pair generator"
"Verifone public key filename","Verifone public key filename"
"Required. Path and filename of Verifone public key file","Required. Path and filename of Verifone public key file"
"Pay page URL 1","Pay page URL 1"
"Required. URL to the payment system","Required. URL to the payment system"
"Pay page URL 2","Pay page URL 2"
"Pay page URL 3","Pay page URL 3"
"Optional. Second redundant URL to the payment system","Optional. Second redundant URL to the payment system"
"Optional. Third redundant URL to the payment system","Optional. Third redundant URL to the payment system"
"Check payment node availability","Check payment node availability"
"Make a check that payment node is available","Make a check that payment node is available."
"Skip confirmation page","Skip confirmation page"
"Return directly to shop after payment","Return directly to shop after payment."
"Disable rsa blinding","Disable rsa blinding"
"Define CRYPT_RSA_DISABLE_BLINDING as true in case of custom PHP build or PHP7 (experimental)","Define CRYPT_RSA_DISABLE_BLINDING as true in case of custom PHP build or PHP7 (experimental)"
"Basket Item Sending","Basket Item Sending"
"Do not send basket items","Do not send basket items"
"Send for all payment methods","Send for all payment methods"
"Send only for invoice payment methods","Send only for invoice payment methods"
"Combine Invoice Basket Items","Combine Invoice Basket Items"
"Sort order","Sort order"
"Select payment methods and set groups","Select payment methods"
"Card payments group","Card payments group"
"Allow to save Credit Cards","Allow to save Credit Cards"
"Remember me info","Remember me info"
"Optional. Note in checkout after Remember payment method checkbox - for cards only","Optional. Note in checkout after Remember payment method checkbox - for cards only"
"Save masked PAN number","Save masked PAN number"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"New Payment Order Status","New Payment Order Status"
"Completed Payment Order Status","Completed Payment Order Status"
"Payment interface error","Payment interface error"
"You will be redirected to Verifone to complete your order.","You will be redirected to Verifone to complete your order."
"Select payment methods and set groups","Select payment methods and set groups"
"Group Position","Group Position"
"Group name","Group name"
"Payments","Payments"
"Edit sort order","Edit order"
"Save sort order","Save sort order"
"Add new group","Add new group"
"Show those without groups","Show those without groups"
"Verifone online payments / %1","Verifone online payments / %1"
"Payment Cards","Payment Cards"
"Payment Method Code","Payment Method Code"
"Place Order and Pay with Verifone","Place Order and Pay with Verifone"
"Remember payment method.","Remember payment method."